paper_id;title;year
1575397;Defeasible logic graphs: II. Implementation;1998
1699565;On the complexity of ontological reasoning under disjunctive existential rules;2012
1736531;On a BPX-preconditioner for P1 elements;1993
1778470;A Semantic-based architecture for sensor networks;2005
1792112;An Efficient Heuristic for Solving an Extended Capacitated Concentrator Location Problem;2003
1810055;Portfolio optimization under D.C. transaction costs and minimal transaction unit constraints;2002
1865761;Fully automatic segmentation of brain tumor images using support vector machine classification in combination with hierarchical conditional random field regularization;2011
1871655;NC coloring algorithms for permutation graphs;1999
1906742;Automating reconfiguration chain generation for SRL-Based run-time reconfiguration;2012
1914497;CoTAGs and ACGs;2012
1937999;On the Family-Free DCJ Distance;2014
1940957;Misuse-Resistant Variants of the OMD Authenticated Encryption Mode;2014
1950670;A Theoretical Analysis of Query Selection for Collaborative Filtering;2003
2048510;Parikh's theorem and descriptional complexity;2012
2112625;Modelling of Lithuanian Speech Diphthongs;2011
2114317;Compilation From Matlab to Process Networks Realized in FPGA;2002
2117307;Hemodynamic-informed parcellation of fMRI data in a joint detection estimation framework.;2012
2120994;Design of optimal filters for error-feedback quantization of monochrome pictures;1986
2122821;State Analysis of Time-Varying Singular Bilinear Systems by RK-Butcher Algorithms;2008
2124813;Constraint selection for semi-supervised topological clustering;2011
2127434;Second-order Poisson-Nernst-Planck solver for ion transport;2011
2127868;Off-Grid DOA Estimation Based on Analysis of the Convexity of Maximum Likelihood Function;2015
2137705;Streaming Authenticated Data Structures;2013
2175101;The recycled Kaplansky's game;2004
2199989;Bibliography on philosophy of chemistry;1997
2204146;A Knowledge Model Sharing Based Approach to Privacy-Preserving Data Mining;2012
2206545;Some bounds on the minimum number of queries required for quantum channel perfect discrimination;2012
2238821;Non-Parametric Motion Activity Analysis for Statistical Retrieval with Partial Query;2001
2267849;Preliminary implementation of context-aware attention system for humanoid robots;2013
2305095;Synthesis of Neural Networks and PID Control for Performance Improvement of Industrial Robots;1997
2323682;Retrieving reusable software components by polymorphic type;1991
2431536;Probabilistic model checking of the PDGF signaling pathway;2012
2446983;Holistic Approach for Future Energy Efficient Cellular Networks;2010
2451114;Distributed Event-Based Process Execution - Assessing Feasibility and Flexibility;2011
2477769;IT Service Management: A Cross-national Study of ITIL Adoption;2014
2480119;3D profile measurement using color multi-line stripe pattern with one shot scanning;2005
2486361;3D Prostate TRUS Segmentation Using Globally Optimized Volume-Preserving Prior;2014
2511089;Mutual informing between IS Academia and Practice: Insights from KIWISR-5;2011
2526871;A compressed sensing approach for MR tissue contrast synthesis;2011
2573304;Algorithmic determination of q-power series for q-holonomic functions;2012
2629360;Remarks on Newton Type Multivariate Interpolation for Subsets of Grids;1980
2658294;Die vier Elementar-Ontologien semantischer Interpretation und ihre empirischen Folgen.;1998
2661084;Event-Driven Field Estimation for Wireless Sensor Networks;2006
2700668;Synthesis of an 8051-Like Micro-Controller Tolerant to Transient Faults;2001
2732331;An efficient and flexible task management for many cores;2011
2752502;Elementary Teachers' Perceptions of Technology Proficiencies and Motivation to Integrate Technology in School Curricula;2015
2784031;Map schematization with circular arcs;2014
2793079;Parallel algorithms for the single source shortest path problem;1982
2796427;Claims and evidence for architecture-based self-adaptation: a systematic literature review;2013
2799149;NFC in the K-Project Secure Contactless Sphere—smart RFID technologies for a connected world;2013
2834224;Secure semi-supervised vector quantization for dissimilarity data;2013
2849812;Augmented spatial pooling;2011
2875723;When difference in machine loads leadsto efficient scheduling in open shops;1999
2896118;A visual pathway for shape-based invariant classification of gray scale images;2007
2991996;A virtual factory based approach to on-line simulation and scheduling for an FMS and a case study;2001
2997962;UBC_UOS-TYPED: Regression for typed-similarity;2013
3008640;A new adaptive control scheme with arbitrary nonlinear inputs;1998
3036539;The BMAP/G/1-->·/PH/1/M tandem queue with feedback and losses;2007
3081997;Control Synthesis For Discrete Event Systems: A Semantic Framework Based On Open Petri Nets;2002
3090440;Asynchronous Embedded Control;1998
3100938;Resilient city and seismic risk: a spatial multicriteria approach;2011
3117877;An automatic web news article contents extraction system based on RSS feeds;2009
3123709;Towards a Higher-Dimensional String Theory for the Modeling of Computerized Systems;2014
3179671;Physiologically based construction of optimized 3-d arterial tree models;2011
3234514;Quotients of the deformation of Veronesean dual hyperoval in PG(3d,2);2012
3235709;Enterprise mobility: Researching a new paradigm;2008
3258327;Efficient optic cup detection from intra-image learning with retinal structure priors;2012
3302081;Humans Are Not Machines: The Behavioral Impact of Queueing Design on Service Time;2017
3328359;Image segmentation with implicit color standardization using spatially constrained expectation maximization: detection of nuclei;2012
3383526;Discovering Error Classes from Discrepancies in Novice Behaviors Via Multistrategy Conceptual Clustering;1998
3401598;Distributed Stochastic Gradient MCMC;2014
3427601;On a decomposition for infinite transition matrices;1997
3438928;Skeleton extraction of vertex sets lying on arbitrary triangulated 3d meshes;2013
3442540;Behavioral and coinductive rewriting;2000
3448503;Automated Colorectal Cancer Diagnosis for Whole-Slice Histopathology;2012
3477132;A fast algorithm for solving special tridiagonal systems;1994
3501056;A continued fractions approach to a result of Feit;2008
3520640;Semantic relatedness in semantic networks;2008
3525987;Estimation of smooth growth trajectories with controlled acceleration from time series shape data;2011
3534558;An Approach to Cooperation-Oriented Business Processes;2010
3554051;On inverse operations and their descriptional complexity;2012
3572470;Adaptive Techniques for Universal Access;2001
3709876;Transmit Diversity Schemes for WCDMA;2003
3764542;The fork calculus;1994
3787346;An agents based middleware for personalization of multimedia service delivery in SOAs;2008
3834434;Experimental study of the population parameters settings in cooperative multi-agent system solving instances of the VRP;2013
3851596;Framework and Results for English SENSEVAL;2000
3866497;Independence Analysis of Firing and Rule-based Net Transformations in Reconfigurable Object Nets;2008
3895791;Completeness Guaranteed Approximations for OWL-DL Query Answering.;2009
3908520;Rule-Based COTS Integration;2003
3939803;A Low Cost Machine Translation Method for Cross-Lingual Information Retrieval;2008
3990379;A semantic web services-based infrastructure for ubiquitous service systems;2009
4017481;On Cyclic Top-Associative Generalized Galois Rings;2003
4032102;Supervisor Synthesis for Real-Time Discrete Event Systems;1998
4044073;Groupwise Segmentation with Multi-atlas Joint Label Fusion;2013
4050249;Interval Arithmetic on Multimedia Architectures;2002
4113630;IMS security and what we should learn from the Internet;2010
4132344;Reliability and validity of egocentered network data collected via web: A meta-analysis of multilevel multitrait multimethod studies;2006
4134953;Full-reference image quality assessment by combining global and local distortion measures;2016
4153462;The ecology of standards processes: insights from internet standard making;2006
4165075;Normative systems represented as hybrid knowledge bases;2011
4165616;A Preemption-Aware On-line Routing Algorithm for MPLS Networks;2003
4166088;Introduction: Computer Vision Research at NECI;1999
4166809;Parallel simulation of urban dynamics on the GPU;2012
4184584;Agent-Based Model to Simulate Groundwater Remediation with Nanoscale Zero Valent Iron;2012
4191512;Proactive Reactive Scheduling in Resource Constrained Projects with Flexibility and Quality Robustness Requirements;2014
4192155;A systematic approach to synthesize data alignment directives for distributed memory machines;1996
4208942;Disproof of a conjecture in graph reconstruction theory;1992
4215287;Quantifying effect-specific mammographic density;2007
4274974;CENSREC2 : Corpus and Evaluation Environments for In Car Continuous Digit Speech Recognition;2005
4310203;Decision tree grafting;1997
4339657;Computing discriminating and generic words;2012
4348901;From Preference to Happiness: Towards a More Complete Welfare Economics;2003
4358642;A Mobile Robots Trajectory Planning Approach under Motion Restrictions;1999
4358824;The Misuse of RC4 in Microsoft Word and Excel.;2005
4367799;A portable dextrous master with force feedback;1992
4375311;Does public administration have artefacts;2007
4412456;Reinforcement learning for context aware segmentation;2011
4446879;On the commutative quotient of Fomin-Kirillov algebras;2016
4472531;Guidelines on the design of effective CBL environments;2006
4513054;Designing an Adaptive CORBA Load Balancing Service Using TAO;2001
4549351;Deriving the type flaw attacks in the Otway-Rees protocol by rewriting;2006
4593459;Short Text Classification Using Semantic Random Forest;2014
4619260;Design and Narrative Structure for the Virtual Human Scenarios;2007
4650715;Scheduling in HPC resource management systems: Queuing vs. planning;2003
4664959;Logically Clustered Architectures for Networked Databases;2001
4670718;CADRE: An Asynchronous Embedded DSP for Mobile Phone Applications;2002
4684357;How e-inclusion and innovation policy affect digital access and use for senior citizens in europe;2013
4797066;A Bayesian Approach for Liver Analysis: Algorithm and Validation Study;2008
4806451;Modeling 4D Changes in Pathological Anatomy Using Domain Adaptation: Analysis of TBI Imaging Using a Tumor Database;2013
4877500;On Increasing Our Knowledge of Large-Scale Software Comprehension;1997
4877809;Dealing with Prosody in a Text-to-Speech System;1999
4888557;Petri net dynamics-based scheduling of flexible manufacturing systems with assembly;1999
4925844;Development of a tool for code automatic generation of persistent objects;2005
4930815;Destination flow for crowd simulation;2012
4958369;Emergent Task Allocation for Mobile Robots;2007
4969023;The Vahm Robotized Wheelchair: System Architecture and Human-Machine Interaction;1998
4983780;Model-Guided Directional Minimal Path for Fully Automatic Extraction of Coronary Centerlines from Cardiac CTA;2013
4986985;Approximation by alternating families on subsets;1972
5004103;Presence and relaxation: A preliminary controlled study;2008
5006391;A Fast and Practical Algorithm for Generalized Penetration Depth Computation;2007
5014922;A computational approach to patient flow logistics in hospitals;2010
5024876;Creating Integrated Evidence Graphs for Network Forensics;2013
5091314;The union of minimal hitting sets: parameterized combinatorial bounds and counting;2007
5137927;DEVELOPMENTS IN PRACTICE V: IT SOURCING: BUILD, BUY, OR MARKET;2002
5146725;A Knowledge Base for D. melanogaster Gene Interactions Involved in Pattern Formation;1997
5151268;Shipment tracking technologies and customer satisfaction;2001
5210191;Multiresolution Hierarchical Shape Models in 3D Subcortical Brain Structures;2013
5211023;Detection and Monitoring of Active Faults in Urban Environments: Time Series Interferometry on the Cities of Patras and Pyrgos (Peloponnese, Greece);2009
5251991;Selecting Decomposable Models for Word-Sense Disambiguation: TheGrling-Sdm System;2000
5304494;VQL: the query language for semantically information retrieval in the SemanticLIFE digital memory framework;2007
5364006;Out of the wireless access bottleneck trap: technologies, economics, regulation and standardization perspectives;2012
5385442;On the (s,t)-Pell and (s,t)-Pell–Lucas sequences and their matrix representations;2012
5387978;Computer-aided prototyping of production flows for a virtual enterprise;2003
5402935;Power-induced time division on asynchronous channels;1999
5414421;Verteiltes, virtuelles Softwareprojekt;2002
5422347;Hazard-free self-timed design: methodology and application;2000
5430021;Effective branch prediction through caching of aliasing branches;2004
5486890;An improved method for global solution of non-linear systems;1999
5501080;Realization, Reduction And Psychological Autonomy;2001
5536954;Effiziente Schrittweitenfunktionen bei unrestringierten Optimierungsaufgaben;1977
5551006;Towards a Taxonomy of Service Design Methods and Tools;2013
5585804;DITTO - a tool for identification of patient cohorts from the text of physician notes in the electronic medical record.;2005
5606278;Mining Administrative and Clinical Diabetes Data with Temporal Association Rules;2009
5641948;Dynamic Threshold Selection Method for Multi-label Newspaper Topic Identification;2013
5683847;A Comparison of Decision Tree Classifiers for Automatic Diagnosis of Speech Recognition Errors;2012
5699724;Investigating the Role of Network Topology and Dynamical Regimes on the Dynamics of a Cell Differentiation Model;2014
5726139;A Multi-Objective A* Search Based on Non-dominated Sorting;2014
5794732;Multicarrier Orthogonal-CDMA for Fixed Wireless Access Applications;2001
5824881;Take Note: the Effectiveness of Novice Programmers' Annotations on Examinations;2005
5841149;The Impact of Twitter Adoption on Lawmakers’ Voting Orientations;2019
5841864;Efficient Sensor Data Gathering and Resilient Communication for Rescue Scenarios;2009
5846485;On strongly equivalent context-free grammar forms;1976
5848845;Equational Classes of Totally Ordered Modal Lattices;1999
5862008;Stable Shape Comparison of Surfaces via Reeb Graphs;2014
5879839;Characterizing e-business workloads using fractal methods;2002
5889699;Automated cephalometric landmark localization using sparse shape and appearance models;2011
5892758;Teaching Research: Encouraging Discoveries;2010
5906594;System topologies and performance evaluation of the RESOLUTION embedded local positioning system;2008
5917611;Investigations on Automata and Languages over a Unary Alphabet;2014
5924924;Generalized partial volume: an inferior density estimator to Parzen windows for normalized mutual information;2011
5928876;Improving the performance of pipelined query processing with skipping;2012
6019636;Robust Probabilistic Fake Packet Injection for Receiver-Location Privacy in WSN;2012
6033796;Multimodal mouse: A mouse-type device with tactile and force display;1994
6077573;Reconstructing Clinical Events by Interpreting NICU Monitoring Data;2008
6105805;OWA-FRPS: A Prototype Selection Method Based on Ordered Weighted Average Fuzzy Rough Set Theory;2013
6124650;Transforming mathematical models using declarative reformulation rules;2011
6169467;Hitting or avoiding balls in Euclidean space;1997
6201493;Synthesizing Executable Simulations from Structural Models of Component-Based Systems;2009
6221940;Criticality Analysis in Activity-on-Node Networks with Minimal Time Lags;2001
6229082;Support Vector Machine and Generalization;2004
6304768;Adaptive link layer strategies for energy efficient wireless networking;1999
6413923;Robust Control Using Interval Analysis;2001
6419611;A Combinatorial Proof of Vandermonde's Determinant;2007
6430066;Preparation for Interactive Live Computer Performance in Collaboration with a Symphony Orchestra;2001
6447760;Setting thresholds for periodic order release;1997
6455561;From linear partitions to parallelogram polyominoes;2011
6503115;GINGER II: An Example-Driven Word Sense Disambiguator;2000
6512268;Rough description logics for modeling uncertainty in instance unification;2007
6585196;Characterization of Tissue Histopathology via Predictive Sparse Decomposition and Spatial Pyramid Matching;2013
6608675;The intelligent ventilator project: application of physiological models in decision support;2011
6609858;Scientometrics of the international journal Scientometrics;2003
6625301;On the Number of Abelian Bordered Words;2013
6661174;Simulation Based Validation Of Authentication Protocols;2004
6688141;Developing and Enforcing Policies for Access Control, Resource Usage, and Adaptation - A Practical Approach;2013
6738442;A Systematic Literature Review on Strategic Information Systems Planning: Insights from the Past Decade;2013
6747482;Modeling energy efficiency of file sharing;2010
6757132;Identifying nuclear phenotypes using semi-supervised metric learning;2011
6825241;Finding Global Minima of Maximum Functions by Using Exclusion Functions without Derivatives;1997
6837029;Ray divergence-based bundle adjustment conditioning for multi-view stereo;2011
6870528;Inter-observer agreement for quality measures applied to online health information.;2004
6893780;Sarcasm, Deception, and Stating the Obvious: Planning Dialogue without Speech Acts;2004
6913783;Trust-orBAC: A Trust Access Control Model in Multi-Organization Environments;2012
6933244;Characterizing time-varying program behavior using phase complexity surfaces;2011
6993340;Home internet access and usage in the USA: Trends in the socio-economic digital divide;2011
7016549;Accuracy and speed of real and complex interpolation;1973
7064373;Mobile Agents Rendezvous in Spite of a Malicious Agent;2015
7068636;Using traceability links and higher-order transformations for easing regression testing of web applications;2011
7118658;A Cutting Plane Approach to Solving Quadratic Infinite Programs on Measure Spaces;2001
7122632;Image registration using uncertainty transformations;2005
7126213;A semantic plug&play based framework for ambient assisted living;2012
7149231;Limited Memory Space Dilation and Reduction Algorithms;2001
7162165;Alternating Vector Addition Systems with States;2014
7185409;Optimal absolute error starting values for Newton-Raphson calculation of square root;1991
7224772;Wavelength-Conversion-Based Protocols for Single-Hop Photonic Networks with Bursty Traffic;1999
7257404;Importance of Price in Telecommunications Managers' Choice of Local Access Provider;2003
7270038;INFORMATION SYSTEMS RESEARCH: REVERSING THE ORIENTATION;2001
7294302;Flexible Nonparametric Kernel Learning with Different Loss Functions;2013
7316513;Constructing physically realistic VCV stimuli for the perception of stop voicing in European Portuguese;2012
7324505;Uniqueness of the Core for Chain-Complete Ordered Sets;2000
7332547;Differential Thermal Testing: An Approach to its Feasibility;1999
7341430;Exploring the quality in use of web 2.0 applications: the case of mind mapping services;2011
7371413;Networked virtual reality and cooperative work;1995
7434907;Compiling CAO: From Cryptographic Specifications to C Implementations;2014
7489460;Multichannel SAR-GMTI in Maritime Scenarios With F-SAR and TerraSAR-X Sensors;2015
7495282;Position Auctions with Externalities;2014
7498473;State space collapse with application to heavy traffic limits for multiclass queueing networks;1998
7518849;Controlling Aspect Reentrancy.;2008
7544043;Better security and privacy for web browsers: a survey of techniques, and a new implementation;2011
7548172;Separating Deterministic from Randomized Multiparty Communication Complexity;2010
7558436;Reasoning about multi-stage programs;2012
7585623;Locality preserving non-negative basis learning with graph embedding;2013
7599186;A mathematical model of performance of computer-mediated groups during idea generation;1994
7626757;Detection of spontaneous vesicle release at individual synapses using multiple wavelets in a CWT-Based algorithm;2012
7632658;Simulation of Complete Binary Tree Structures in a Faulty Flexible Hypercube;1999
7694972;Call-by-Value solvability, revisited;2012
7721922;Consensus Methods for Solving Inconsistency of Replicated Data in Distributed Systems;2003
7821847;Limited simple eco-grammar systems with prescribed teams;2006
7824952;Pervasive Business Intelligence Platform to Improve the Quality of Decision Process in Primary and Secondary Education – A Portuguese Case Study;2015
7833966;A Retargetable Compilation Methodology for Embedded Digital Signal Processors Using a Machine-Dependent Code Optimization Library;1999
7857344;Hypergraph learning with hyperedge expansion;2012
7868829;Some new lower bounds for ternary covering codes;1996
7912116;Aesthetics in mate-in-3 combinations part II: Normality;2010
7921658;Epimorphisms of Separated Superconvex Spaces;1997
7937025;On parallel methods for boundary value ODEs;1991
7943539;Improved bounds for Erdős' Matching Conjecture;2013
8027711;Virtual Reality based tools for the rehabilitation of cognitive and executive functions: the V-STORE;2003
8029847;The ISL View4You Broadcast News Transcription System;2001
8045854;Representing Lexical Components of Medical Terminologies in OWL;2005
8095997;Experimental Research in Applying Generative Design and 3D Printers in User Participating Design;2014
8136706;A technique to improve the spelling suggestion rank in medical queries.;2003
8138065;Modified Algorithm of Dynamic Frequency Hopping (DFH) in the IEEE 802.22 Standard;2014
8159915;Efficient Mining of Density-Aware Distinguishing Sequential Patterns with Gap Constraints;2014
8172325;Automaton theory approach for solving modified PNS Problems;2002
8204747;On embeddings of CAT(0) cube complexes into products of trees via colouring their hyperplanes;2013
8205339;Emg-based interface for position tracking and control in vr environments and teleoperation;1997
8222043;How Humans Teach Agents: A New Experimental Perspective;2012
8239055;Tolerance evaluation of flexible manufacturing architectures;1999
8258973;Multi-organ Segmentation Based on Spatially-Divided Probabilistic Atlas from 3D Abdominal CT Images;2013
8261375;A user-selected uplink power control algorithm in the two-tier femtocell network;2015
8281617;On Smoothness Properties and Approximability of Optimal Control Functions;2001
8294097;Comparative multivariate analysis of codon and amino acid usage in three Leishmania genomes.;2011
8302992;Lessons from Discarded Computer Architectures;2010
8306339;PGS-COM: A hybrid method for constrained non-smooth black-box optimization problems: Brief review, novel algorithm and comparative evaluation;2014
8342646;Game Theory Techniques for University Management: An Extended Bankruptcy Model;2002
8362916;Group Signatures: Provable Security, Efficient Constructions and Anonymity from Trapdoor-Holders.;2004
8365436;Exploring Different Optimization Techniques for an External Multimedia Meta-Search Engine;2012
8381840;Postponement and Logistics Flexibility in Retailing : A Multiple Case Study from Sweden;2016
8408444;A pattern-based approach to generate code from API usage scenarios;2006
8449307;Estimating characteristics of queueing networks using transactional data;1998
8454456;50 Years of Fuzzy: from Discrete to Continuous to -- Where?;2015
8455847;Automated error detection using association rules;2011
8490009;Simple bounds for closed queueing networks;1999
8517183;Book review: The Logical Foundations of Artificial Intelligence. by Michael R. Genesereth and Nils Nilsson (Morgan Kaufmann 1987);1988
8587209;Deformation-based augmented reality for hepatic surgery.;2013
8623215;Improving the construction of the DBM over approximation of the state space of real-time preemptive systems;2012
8625731;Games, Kernels, and Antitone Operations;2000
8627866;Classifying Fuzzy Subsumption in Fuzzy-EL+.;2008
8639604;Verified stochastic methods;2013
8675303;Hysteresis and Hemivariational Inequalities: Semilinear Case;1998
8677904;Towards Privacy-by-Design Peer-to-Peer Cloud Computing;2013
8679120;How to compute the volume in high dimension;2003
8713414;A power control game based on outage probabilities for multicell wireless data networks;2004
8719666;Complete Conceptual Schema Algebras;2013
8800403;A fast algorithm for solving the first biharmonic boundary value problem;1979
8813505;Improving Speech Recognition Accuracy for Small Vocabulary Applications in Adverse Environments;2000
8815242;Increasing Intelligence in Autonomous Wheelchairs;1998
8845214;Drawing conclusions from data—The rough set way;2001
8866102;Graphs Having the Local Decomposition Property.;1999
8910829;WHY DENOTATIONAL?: Remarks on Applied Denotational Semantics;1996
8944799;Old and new from SOR;2000
9002293;Implementing MAS agreement processes based on consensus networks;2013
9017778;Deploy, adjust and readjust: supporting dynamic reconfiguration of policy enforcement;2011
9021291;The Development of Computer Science Education;1985
9022867;Improving Phoneme Classification Performance Using Observation Context–Dependent Segment Models;2000
9026421;Corpus-based terminological evaluation of ontologies;2012
9035906;Das Dekompositionsmodell nach Wand und Weber im Kontext der Prozessmodellierung;2012
9053864;Information systems and healthcare XXIII: Exploring Interoperability of Electronic Healthcare Records by Studying Demand and Supply in the Netherlands;2007
9061855;A Note on Set Cover Inapproximability Independent of Universe Size;2007
9069501;Optimizing decisions in web services orchestrations;2011
9080237;Application of modal intervals to the generation of error-bounded envelopes;2001
9091480;SVM Methods for Optimal Management of a Virtual Power Plant;2013
9098371;Two-way metalinear PC grammar systems and their descriptional complexity;2004
9162323;New results on NMAC/HMAC when instantiated with popular hash functions;2008
9166514;An algorithm for the T-count;2014
9178142;Adaptive Transmission for Direct-Sequence Spread-Spectrum Communications over Multipath Channels;2000
9180214;A Stochastic Programming Model for Currency Option Hedging;2000
9181614;Information Technology and Systems - II:Server Administration Networks;2005
9198038;Shuttle Planning for Link Closures in Urban Public Transport Networks;2016
9229288;Power consumption reduction in systems on Chip (SoCs);2004
9245986;Model-Based GUI Testing: Case Smartphone Camera and Messaging Development;2012
9262815;Dialectical Proofs for Constrained Argumentation;2010
9290197;A Time-Triggered Object Tracking Subsystem For Advanced Driver Assistance Systems;2011
9295629;H.264 Sensor Aided Video Encoder for UAV BLOS Missions;2013
9296126;Graph Collapsing in Shortest Path Auction Algorithms;2001
9324657;A fast algorithm for the maximum weight clique problem;1994
9333331;Improved Expansion of Random Cayley Graphs;2004
9340065;Some new optimal quaternary constant weight codes;2005
9358079;Performance of a Multicarrier CDMA System with Rayleigh Fading Multipath Channels;2001
9403874;Using tabu search to determine the number of kanbans and lotsizes in a generic kanban system;1998
9412952;The Separation of Relativized Versions of P and DNP for the Ring of the Reals.;2010
9439495;WHO ARE YOU? - On the Acquisition of Information about People for an Agent that Remembers;2012
9498632;Lightweight BWT construction for very large string collections;2011
9532344;Enlarged Krylov Subspace Conjugate Gradient Methods for Reducing Communication;2016
9556902;Toward Open World and Multimodal Situation Models for Sensor-Aware Web Platforms;2011
9567103;Accounting for random regressors: a unified approach to multi-modality imaging;2011
9615733;Standardization of Processes Applying CMMI Best Practices;2013
9616141;Optimal stability polynomials;1972
9623391;A Decomposition Methodology Applied to the Multi-Area Optimal Power Flow Problem;2003
9639985;Value-Oriented Solution Development Process: Uncovering the Rationale behind Organization Components;2013
9645303;An Investigation of the Perceptual Value of Voice Frames;2009
9657784;Evasion attacks against machine learning at test time;2013
9664036;Communication-efficient randomized consensus;2018
9668009;Neural networks implementation for modeling and control design of manufacturing systems;2000
9715319;Trust, satisfaction, and online repurchase intention: the moderating role of perceived effectiveness of E-commerce institutional mechanisms;2014
9751057;Quality metric for parasternal long axis b-mode echocardiograms;2012
9785351;On a hitherto unexploited extension of the finitary standpoint;1980
9793924;Scheduling Tasks to a Team of Autonomous Mobile Service Robots in Indoor Enviroments.;2002
9794753;BLOCKS, a Component Framework with Checking Facilities for Knowledge-Based Systems;2001
9811568;Diffusion approximations for open multiclass queueing networks: sufficient conditions involving state space collapse;1998
9935762;Invariance of Conjunctions of Polynomial Equalities for Algebraic Differential Equations;2014
9957747;Linear algorithm for domatic number problem on interval graphs;1989
9958333;Discriminative Data Transform for Image Feature Extraction and Classification;2013
10040640;On Maximal Inner Estimation of the Solution Sets of Linear Systems with Interval Parameters;2001
10065857;Gradient Based Image Motion Estimation Without Computing Gradients;1997
10072121;Cryptanalysis of the light-weight cipher a2u2;2011
10105891;Graph Minors: XV. Giant Steps;1996
10118043;Kinematic generation of ruled surfaces;2002
10120196;Viewing the Viewers: A Novel Challenge for Automated Crowd Analysis;2013
10124741;Training Multi-Classifiers for Chinese Unknown Word Detection.;2005
10125997;Developing a secure grid computing environment shell engine: containers and services;2004
10145181;Aviary: Design issues for future large-scale virtual environments;1994
10147339;From C++ Refactorings to Graph Transformations;2007
10152071;Distributed Fuzzy Clustering with Automatic Detection of the Number of Clusters;2011
10158150;A New Class of Designs Which Protect against Quantum Jumps;2003
