journal_id;name;publication
81442583;International Journal of Wireless Information Networks;International Journal of Wireless Information Networks 8 2001
202812398;Information Systems Research;Information Systems Research 30 2019
121371512;Order;Order 16 1999
4511983;Journal of Advanced Computational Intelligence and Intelligent Informatics;Journal of Advanced Computational Intelligence and Intelligent Informatics 8 2004
148561398;Scientometrics;Scientometrics 56 2003
2765074683;Pacific Asia journal of the Association for Information systems;Pacific Asia journal of the Association for Information systems 5 2013
2752854997;Studies in health technology and informatics;Studies in health technology and informatics 11 2004
122814990;Artificial Intelligence Review;Artificial Intelligence Review 22 2004
39243548;Computational Optimization and Applications;Computational Optimization and Applications 19 2001
117727964;IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing;IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing 8 2015
142665794;Theory of Computing;Theory of Computing 6 2010
9954729;Journal of Management Information Systems;Journal of Management Information Systems 11 1994
151550017;Journal of Scientific Computing;Journal of Scientific Computing 14 1999
62907800;Journal of Automata, Languages and Combinatorics;Journal of Automata, Languages and Combinatorics 11 2006
2764905038;Advances in intelligent systems and computing;Advances in intelligent systems and computing 354 2015
38448739;Electronic Journal of Combinatorics;Electronic Journal of Combinatorics 3 1996
30686695;ICGA Journal;ICGA Journal 33 2010
148906134;Applied Categorical Structures;Applied Categorical Structures 5 1997
128556326;Journal of Combinatorial Theory, Series A;Journal of Combinatorial Theory, Series A 120 2013
2939117604;Journal of Combinatorial Theory, Series B;Journal of Combinatorial Theory, Series B 103 2013
168738021;International Journal of Social Robotics;International Journal of Social Robotics 4 2012
91852382;Science in China Series F: Information Sciences;Science in China Series F: Information Sciences 58 2015
155547894;Genomics, Proteomics & Bioinformatics;Genomics, Proteomics & Bioinformatics 9 2011
150671403;Computers & Chemical Engineering;Computers & Chemical Engineering 63 2014
87630009;International Journal of Multimedia Data Engineering and Management;International Journal of Multimedia Data Engineering and Management 3 2012
37320504;Industrial Management and Data Systems;Industrial Management and Data Systems 116 2016
179157397;Journal of Intelligent and Fuzzy Systems;Journal of Intelligent and Fuzzy Systems 29 2015
5301423;Intelligence/sigart Bulletin;Intelligence/sigart Bulletin 104 1988
193920097;Mathematical Programming;Mathematical Programming 97 2003
39012697;Fundamenta Informaticae;Fundamenta Informaticae 124 2013
57950554;International Journal of Intelligent Systems;International Journal of Intelligent Systems 16 2001
73158690;Ars Combinatoria;Ars Combinatoria 52 1999
117494069;Numerical Algorithms;Numerical Algorithms 25 2000
12943752;Wirtschaftsinformatik und Angewandte Informatik;Wirtschaftsinformatik und Angewandte Informatik 54 2012
11189987;Electronic Colloquium on Computational Complexity;Electronic Colloquium on Computational Complexity 14 2007
130252234;Transportation Science;Transportation Science 50 2016
16958353;SIAM Journal on Matrix Analysis and Applications;SIAM Journal on Matrix Analysis and Applications 37 2016
139349430;Distributed Computing;Distributed Computing 31 2018
161120620;Journal of Philosophical Logic;Journal of Philosophical Logic 9 1980
166986516;Informatica (slovenia);Informatica (slovenia) 25 2001
147953040;Information Processing Letters;Information Processing Letters 33 1989
185029670;Journal of Chinese Language and Computing;Journal of Chinese Language and Computing 15 2005
81616010;Designs, Codes and Cryptography;Designs, Codes and Cryptography 29 2003
94044085;Games and Economic Behavior;Games and Economic Behavior 100 2016
4502562;IEEE Transactions on Information Theory;IEEE Transactions on Information Theory 63 2017
84409463;Acta Informatica;Acta Informatica 24 1987
101949793;Sensors;Sensors 19 2018
2765056160;Neural, Parallel & Scientific Computations archive;Neural, Parallel & Scientific Computations archive 9 2001
2764364775;electronic imaging;electronic imaging 6492 2007
2764881110;TCDL Bulletin;TCDL Bulletin 3 2007
165473669;Journal of Computational and Applied Mathematics;Journal of Computational and Applied Mathematics 313 2017
54761077;Annual Reviews in Control;Annual Reviews in Control 27 2003
2764425782;British Telecom technology journal;British Telecom technology journal 7 1990
205929853;Electronic Commerce Research;Electronic Commerce Research 3 2003
125775545;Operations Research;Operations Research 66 2018
187377680;Educational Technology & Society;Educational Technology & Society 6 2003
186126824;Graphs and Combinatorics;Graphs and Combinatorics 9 1993
78735424;Cognitive Science;Cognitive Science 35 2013
2738080829;Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications;Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications 5 2014
18436875;International Journal of Electronic Commerce;International Journal of Electronic Commerce 9 2005
122567160;International Journal on Software Tools for Technology Transfer;International Journal on Software Tools for Technology Transfer 3 2001
189576285;International Journal of Network Security;International Journal of Network Security 12 2011
163424111;Journal of Discrete Algorithms;Journal of Discrete Algorithms 36 2016
150218641;Programming and Computer Software;Programming and Computer Software 29 2003
133764092;International Journal of Knowledge-based and Intelligent Engineering Systems;International Journal of Knowledge-based and Intelligent Engineering Systems 10 2006
2764642956;Applied statistics;Applied statistics 28 1979
2764534584;Journal of Information Technology in Construction;Journal of Information Technology in Construction 11 2006
135086714;Journal of Information Technology;Journal of Information Technology 11 1996
59995812;International Journal of Enterprise Information Systems;International Journal of Enterprise Information Systems 8 2012
168803321;International Journal of Information and Communication Technology;International Journal of Information and Communication Technology 8 2016
186475270;Space Communications;Space Communications 16 2000
2736881203;Informing Science The International Journal of an Emerging Transdiscipline;Informing Science The International Journal of an Emerging Transdiscipline 8 2005
32326811;The Journal of Supercomputing;The Journal of Supercomputing 24 2003
109144305;Bulletin of The European Association for Theoretical Computer Science;Bulletin of The European Association for Theoretical Computer Science 101 2010
132261465;IEEE Robotics & Automation Magazine;IEEE Robotics & Automation Magazine 22 2015
62003192;IEEE Data(base) Engineering Bulletin;IEEE Data(base) Engineering Bulletin 32 2009
47778307;Computational and Mathematical Organization Theory;Computational and Mathematical Organization Theory 5 1999
2898246533;IFAC Proceedings Volumes;IFAC Proceedings Volumes 40 2007
181659395;Information Systems Frontiers;Information Systems Frontiers 5 2003
134936796;Ubiquity;Ubiquity 2010 2010
2764675581;Journal of the Institute of Electronics Engineers of Korea;Journal of the Institute of Electronics Engineers of Korea 45 2013
110206669;Multimedia Tools and Applications;Multimedia Tools and Applications 21 2003
64117906;Digital Signal Processing;Digital Signal Processing 78 2018
131276044;Journal of Nonlinear Science;Journal of Nonlinear Science 12 2002
10666458;International Journal of Interactive Mobile Technologies (ijim);International Journal of Interactive Mobile Technologies (ijim) 2 2008
111371982;Control and Intelligent Systems;Control and Intelligent Systems 37 2009
161516442;Journal of Computer Science and Technology;Journal of Computer Science and Technology 8 1993
81410195;Manufacturing & Service Operations Management;Manufacturing & Service Operations Management 19 2017
196139623;Artificial Intelligence;Artificial Intelligence 21 1983
2764768454;International Journal of Intelligent Technologies and Applied Statistics;International Journal of Intelligent Technologies and Applied Statistics 4 2011
2764630084;Information Polity archive;Information Polity archive 11 2006
2764927640;Computing in Civil Engineering;Computing in Civil Engineering 13 2004
148521650;International Journal of Parallel Programming;International Journal of Parallel Programming 31 2003
169411308;Fuzzy Sets and Systems;Fuzzy Sets and Systems 92 1997
113222589;Cognition, Technology & Work;Cognition, Technology & Work 5 2003
151639445;Foundations of Computational Mathematics;Foundations of Computational Mathematics 3 2003
177586587;Computer Supported Cooperative Work;Computer Supported Cooperative Work 1 1992
174140584;International Journal of Computers for Mathematical Learning;International Journal of Computers for Mathematical Learning 1 1996
10892749;IEEE Transactions on Instrumentation and Measurement;IEEE Transactions on Instrumentation and Measurement 63 2014
158189712;Procesamiento Del Lenguaje Natural;Procesamiento Del Lenguaje Natural 41 2008
85427048;Iet Communications;Iet Communications 4 2010
81046792;Journal of Digital Information;Journal of Digital Information 5 2004
203549655;Discrete Optimization;Discrete Optimization 20 2016
89818526;Praxis Der Wirtschaftsinformatik;Praxis Der Wirtschaftsinformatik 50 2013
45693802;Neurocomputing;Neurocomputing 174 2016
191413112;Journal of Social Structure;Journal of Social Structure 1 2000
112686501;International Journal of Digital Content Technology and Its Applications;International Journal of Digital Content Technology and Its Applications 2 2008
141283892;Asymptotic Analysis;Asymptotic Analysis 59 2008
90727058;Theoretical Computer Science;Theoretical Computer Science 460 2012
4458074;Journal of Information, Law and Technology;Journal of Information, Law and Technology 2008 2008
206909572;Information Security Technical Report;Information Security Technical Report 11 2006
126160977;Mathematical Methods of Operations Research;Mathematical Methods of Operations Research 50 1999
8129204;Computing Systems;Computing Systems 3 1990
187709482;Electronic Commerce Research and Applications;Electronic Commerce Research and Applications 12 2013
59933527;Information & Computation;Information & Computation 254 2017
5405189;Autonomous Agents and Multi-Agent Systems;Autonomous Agents and Multi-Agent Systems 7 2003
139930977;Journal of Artificial Intelligence Research;Journal of Artificial Intelligence Research 51 2014
2764747844;The Journal of information and systems in education;The Journal of information and systems in education 18 2019
414566;Pattern Recognition;Pattern Recognition 13 1987
56271844;Information Systems and E-business Management;Information Systems and E-business Management 1 2003
22130598;Computer Science - Research and Development;Computer Science - Research and Development 27 2012
47517739;International Journal on It/business Alignment and Governance;International Journal on It/business Alignment and Governance 4 2013
88345224;Mathematics of Control, Signals, and Systems;Mathematics of Control, Signals, and Systems 14 2001
185256354;Information Technology & People;Information Technology & People 18 2005
203348814;SIAM Journal on Numerical Analysis;SIAM Journal on Numerical Analysis 54 2016
189700591;International Journal of Software and Informatics;International Journal of Software and Informatics 3 2009
145553572;International Journal of General Systems;International Journal of General Systems 46 2017
137348503;ACM Transactions on Algorithms;ACM Transactions on Algorithms 13 2017
50372074;Applied Mathematics and Computation;Applied Mathematics and Computation 204 2008
47930974;Genetic Programming and Evolvable Machines;Genetic Programming and Evolvable Machines 4 2003
2502551423;OR Spectrum;OR Spectrum 25 2003
1001063841;Künstliche Intelligenz;Künstliche Intelligenz 26 2012
2485147958;Journal of Computational Design and Engineering;Journal of Computational Design and Engineering 2 2015
37538908;IEEE Transactions on Very Large Scale Integration Systems;IEEE Transactions on Very Large Scale Integration Systems 24 2016
153560523;SIAM Journal on Computing;SIAM Journal on Computing 14 1985
166472302;Digital Humanities Quarterly;Digital Humanities Quarterly 3 2009
103225281;NeuroImage;NeuroImage 54 2011
42974456;International Transactions on Systems Science and Applications;International Transactions on Systems Science and Applications 1 2006
44535979;Applicable Algebra in Engineering, Communication and Computing;Applicable Algebra in Engineering, Communication and Computing 24 2013
207922018;Intelligenza Artificiale;Intelligenza Artificiale 1 2004
153767265;Eurasip Journal on Image and Video Processing;Eurasip Journal on Image and Video Processing 2015 2015
7504070;Software Quality Journal;Software Quality Journal 27 2019
202254422;Evolving Systems;Evolving Systems 6 2015
188076996;Archive for Mathematical Logic;Archive for Mathematical Logic 43 2004
202403813;Reliability Engineering & System Safety;Reliability Engineering & System Safety 85 2004
173256270;Computers & Operations Research;Computers & Operations Research 88 2017
40788348;Statistical Analysis and Data Mining;Statistical Analysis and Data Mining 9 2016
190936789;Journal of Cryptology;Journal of Cryptology 14 2001
8301326;South African Computer Journal;South African Computer Journal 28 2002
201849197;Numerische Mathematik;Numerische Mathematik 135 2017
113490347;Ad Hoc & Sensor Wireless Networks;Ad Hoc & Sensor Wireless Networks 10 2010
99781599;Journal of Automated Reasoning;Journal of Automated Reasoning 42 2009
92264924;Journal on Satisfiability, Boolean Modeling and Computation;Journal on Satisfiability, Boolean Modeling and Computation 6 2009
65753830;Soft Computing;Soft Computing 7 2003
91278097;Journal of Scheduling;Journal of Scheduling 20 2017
138592535;Journal of Information Technology Research;Journal of Information Technology Research 6 2013
60115552;Computers, Environment and Urban Systems;Computers, Environment and Urban Systems 41 2013
106390105;Ibm Journal of Research and Development;Ibm Journal of Research and Development 56 2012
100666833;The International Arab Journal of Information Technology;The International Arab Journal of Information Technology 3 2006
28822639;Computational Management Science;Computational Management Science 9 2012
151239915;Innovations in Systems and Software Engineering;Innovations in Systems and Software Engineering 12 2016
902237881;Electronic Notes in Discrete Mathematics;Electronic Notes in Discrete Mathematics 2 1999
30879505;Journal of the Association for Information Systems;Journal of the Association for Information Systems 15 2014
35920007;EURASIP Journal on Advances in Signal Processing;EURASIP Journal on Advances in Signal Processing 2004 2004
27556001;International Journal of Intelligent Information and Database Systems;International Journal of Intelligent Information and Database Systems 9 2017
80764785;Journal of Mathematical Modelling and Algorithms;Journal of Mathematical Modelling and Algorithms 12 2013
933883312;Cybernetics and Human Knowing;Cybernetics and Human Knowing 6 1999
75627377;Siam Journal on Financial Mathematics;Siam Journal on Financial Mathematics 7 2016
152598483;Web Intelligence and Agent Systems: An International Journal;Web Intelligence and Agent Systems: An International Journal 5 2007
132193140;Egyptian Computer Science Journal;Egyptian Computer Science Journal 30 2008
191948775;International Journal of Autonomous and Adaptive Communications Systems;International Journal of Autonomous and Adaptive Communications Systems 9 2016
54546190;AStA Wirtschafts- und Sozialstatistisches Archiv;AStA Wirtschafts- und Sozialstatistisches Archiv 7 2013
164249298;Clei Electronic Journal;Clei Electronic Journal 9 2006
45848134;Journal of Systems Science & Complexity;Journal of Systems Science & Complexity 26 2013
147897268;Neural Computing and Applications;Neural Computing and Applications 12 2003
2764886168;Journal of robotics and mechatronics;Journal of robotics and mechatronics 13 2001
105431777;Journal of Convergence Information Technology;Journal of Convergence Information Technology 5 2010
203537807;Multiagent and Grid Systems;Multiagent and Grid Systems 7 2011
111418578;Journal of Heuristics;Journal of Heuristics 2 1997
25615441;Robot;Robot 1 2014
97130795;IEEE Transactions on Parallel and Distributed Systems;IEEE Transactions on Parallel and Distributed Systems 28 2017
151317046;A Quarterly Journal of Operations Research;A Quarterly Journal of Operations Research 2 2004
5437875;Statistics and Computing;Statistics and Computing 7 1997
988029680;IEEE Transactions on Computational Intelligence and AI in Games;IEEE Transactions on Computational Intelligence and AI in Games 9 2017
184954342;IEEE Transactions on Automatic Control;IEEE Transactions on Automatic Control 60 2015
50245893;Journal of Computer Science;Journal of Computer Science 10 2014
51041755;International Journal of Ambient Computing and Intelligence;International Journal of Ambient Computing and Intelligence 4 2012
2764391171;Scalable Computing: Practice and Experience;Scalable Computing: Practice and Experience 2 2001
2739052517;RT. A Journal on Research Policy and Evaluation;RT. A Journal on Research Policy and Evaluation 1 2013
2764383307;Education for Information;Education for Information 27 2010
27455496;Journal of Computational Neuroscience;Journal of Computational Neuroscience 15 2003
57525425;Journal of Functional and Logic Programming;Journal of Functional and Logic Programming 1999 1999
158797327;IEEE Communications Magazine;IEEE Communications Magazine 53 2015
30338973;Universal Access in The Information Society;Universal Access in The Information Society 1 2001
93468912;Teleoperators and Virtual Environments;Teleoperators and Virtual Environments 3 1994
198285748;Multidimensional Systems and Signal Processing;Multidimensional Systems and Signal Processing 10 1999
199067057;Journal of Zhejiang University Science C;Journal of Zhejiang University Science C 14 2013
51360982;Automatica;Automatica 67 2016
158577884;Kybernetika;Kybernetika 38 2002
2764848058;The Journal of Combinatorics;The Journal of Combinatorics 20 1999
94059882;International Journal of Information Technology Project Management;International Journal of Information Technology Project Management 6 2015
169174478;Journal on Data Semantics;Journal on Data Semantics 2 2013
183498172;Journal of The Franklin Institute-engineering and Applied Mathematics;Journal of The Franklin Institute-engineering and Applied Mathematics 349 2012
207931912;Revista De Informática Teórica E Aplicada;Revista De Informática Teórica E Aplicada 2 1995
155002599;Informatik Spektrum;Informatik Spektrum 27 2004
3444786;Neuroinformatics;Neuroinformatics 5 2007
180847057;Journal of Systems Integration;Journal of Systems Integration 10 2001
135965793;Transactions on Machine Learning and Data Mining;Transactions on Machine Learning and Data Mining 7 2014
115004586;Computer Communications;Computer Communications 19 1996
160466889;Minds and Machines;Minds and Machines 6 1996
176303223;Ai Communications;Ai Communications 14 2001
59697426;IEEE Micro;IEEE Micro 9 1989
193995496;Computational Complexity;Computational Complexity 3 1993
35093870;Journal of Approximation Theory;Journal of Approximation Theory 170 2013
206939107;Computer Science and Information Systems;Computer Science and Information Systems 10 2013
199944782;IEEE Transactions on Pattern Analysis and Machine Intelligence;IEEE Transactions on Pattern Analysis and Machine Intelligence 38 2016
163534328;Marketing Science;Marketing Science 36 2017
197419112;Journal of Logic, Language and Information;Journal of Logic, Language and Information 5 1996
63515265;Logistics Research;Logistics Research 7 2014
164062316;International Journal of Information Security;International Journal of Information Security 1 2002
2764863393;Network Security;Network Security 78 2001
107925523;Journal of Combinatorial Optimization;Journal of Combinatorial Optimization 31 2014
149131268;Journal of Economic Theory;Journal of Economic Theory 168 2017
171169652;International Journal of Applied Earth Observation and Geoinformation;International Journal of Applied Earth Observation and Geoinformation 9 2007
93986401;Fuzzy Optimization and Decision Making;Fuzzy Optimization and Decision Making 4 2005
897311980;Siam Journal on Control and Optimization;Siam Journal on Control and Optimization 54 2016
128779766;Journal of Organizational Computing and Electronic Commerce;Journal of Organizational Computing and Electronic Commerce 17 2007
115019648;Journal of Librarianship and Information Science;Journal of Librarianship and Information Science 51 2019
145445665;Ai & Society;Ai & Society 8 1994
176024842;Rundbrief Der Gi-fachgruppe 5.10 Informationssystem-architekturen;Rundbrief Der Gi-fachgruppe 5.10 Informationssystem-architekturen 1999 1999
2498033248;Contributions to Discrete Mathematics;Contributions to Discrete Mathematics 2 2007
2764846446;Journal of Computational Methods in Sciences and Engineering archive;Journal of Computational Methods in Sciences and Engineering archive 5 2005
30128005;Journal of Network and Computer Applications;Journal of Network and Computer Applications 40 2014
985303;Technometrics;Technometrics 59 2017
2764536774;Information Services and Use archive;Information Services and Use archive 27 2007
133922704;Journal of High Speed Networks;Journal of High Speed Networks 19 2013
114268679;Journal of Electronic Commerce Research;Journal of Electronic Commerce Research 3 2002
17421805;Computer-aided Design;Computer-aided Design 61 2015
38901890;International Journal of Accounting Information Systems;International Journal of Accounting Information Systems 2 2001
73535193;Computers & Mathematics With Applications;Computers & Mathematics With Applications 67 2014
192184247;International Journal of Mobile Computing and Multimedia Communications;International Journal of Mobile Computing and Multimedia Communications 3 2011
103671469;Discrete and Computational Geometry;Discrete and Computational Geometry 54 2015
2764582272;Technology, Knowledge, and Learning;Technology, Knowledge, and Learning 20 2015
68047077;International Journal of Foundations of Computer Science;International Journal of Foundations of Computer Science 27 2016
116393019;Grammars;Grammars 6 2003
76152103;IEEE Transactions on Systems, Man, and Cybernetics;IEEE Transactions on Systems, Man, and Cybernetics 46 2016
2765058733;Journal of Computational Methods in Sciences and Engineering;Journal of Computational Methods in Sciences and Engineering 8 2008
140218187;Journal of Grid Computing;Journal of Grid Computing 1 2003
76600781;Analog Integrated Circuits and Signal Processing;Analog Integrated Circuits and Signal Processing 25 2000
171741597;Discrete Applied Mathematics;Discrete Applied Mathematics 172 2014
119727669;Intelligent Decision Technologies;Intelligent Decision Technologies 3 2009
20945777;International Journal of Computer Science & Applications;International Journal of Computer Science & Applications 7 2010
169988927;Journal of the Operational Research Society;Journal of the Operational Research Society 61 2010
89324355;Algorithmica;Algorithmica 36 2003
172430362;Problems of Information Transmission;Problems of Information Transmission 39 2003
162923185;International Journal of Agent Technologies and Systems;International Journal of Agent Technologies and Systems 4 2012
92260147;Information Systems Journal;Information Systems Journal 27 2017
2764900261;Communications in computer and information science;Communications in computer and information science 475 2014
120694666;in Silico Biology;in Silico Biology 7 2007
63459445;IEEE Transactions on Wireless Communications;IEEE Transactions on Wireless Communications 15 2016
103047102;Optimization Methods & Software;Optimization Methods & Software 31 2016
111326731;IEEE Transactions on Geoscience and Remote Sensing;IEEE Transactions on Geoscience and Remote Sensing 54 2016
2764687021;The Australasian Journal of Combinatorics;The Australasian Journal of Combinatorics 48 2010
17203304;Automatic Control and Computer Sciences;Automatic Control and Computer Sciences 42 2008
32573412;Simulation;Simulation 68 1997
21401918;European Journal of Control;European Journal of Control 27 2016
180838163;Journal of Cheminformatics;Journal of Cheminformatics 4 2012
111406016;International Journal of Adaptive, Resilient and Autonomic Systems;International Journal of Adaptive, Resilient and Autonomic Systems 3 2012
119682046;Log in;Log in 34 2009
168680287;IEEE Transactions on Signal Processing;IEEE Transactions on Signal Processing 58 2010
70831867;Foundations and Trends in Communications and Information Theory;Foundations and Trends in Communications and Information Theory 2 2005
95210917;Machine Translation;Machine Translation 16 2001
132362803;Computational Statistics & Data Analysis;Computational Statistics & Data Analysis 99 2016
14881475;Science and Engineering Ethics;Science and Engineering Ethics 18 2012
119153320;Journal of Decision Systems;Journal of Decision Systems 17 2008
87357125;Biological Cybernetics;Biological Cybernetics 65 1991
132210109;International Journal of Game Theory;International Journal of Game Theory 48 2019
2496055428;International Journal of Multimedia Information Retrieval;International Journal of Multimedia Information Retrieval 2 2013
135221619;Computer Aided Geometric Design;Computer Aided Geometric Design 11 1994
106148199;Cluster Computing;Cluster Computing 6 2003
169201059;Computer Systems: Science & Engineering;Computer Systems: Science & Engineering 16 2001
155526855;Computational Linguistics;Computational Linguistics 11 1985
5467817;Emisa Forum;Emisa Forum 24 2004
65577673;The Computer Science Journal of Moldova;The Computer Science Journal of Moldova 16 2008
34838331;Future Internet;Future Internet 7281 2012
2764891196;Social Network Analysis and Mining;Social Network Analysis and Mining 4 2014
2480581173;Progress in Artificial Intelligence;Progress in Artificial Intelligence 1 2012
133905466;Journal of Multivariate Analysis;Journal of Multivariate Analysis 153 2017
90199469;Annals of Mathematics and Artificial Intelligence;Annals of Mathematics and Artificial Intelligence 9 1993
195663827;Microprocessors and Microsystems;Microprocessors and Microsystems 23 1999
1757003;Ingénierie Des Systèmes D'information;Ingénierie Des Systèmes D'information 320 2015
87725633;IEEE Transactions on Reliability;IEEE Transactions on Reliability 63 2014
56603566;Systems & Control Letters;Systems & Control Letters 61 2012
116492418;International Journal of Advanced Corporate Learning (ijac);International Journal of Advanced Corporate Learning (ijac) 7 2014
