keyword_id,keyword
704,Syntax
705,Genome
706,Integer
707,Pairwise comparison
708,Structural variation
711,Cycle decomposition
712,Comparative genomics
713,Linear programming
714,Bioinformatics
715,Gene family
716,Parallelizable manifold
718,Reuse
719,Block cipher mode of operation
723,Authenticated encryption
725,Cryptographic nonce
726,Log-log plot
727,Recommender system
728,Approximation algorithm
729,Finite set
730,Collaborative filtering
733,SIMPLE algorithm
737,Context-free language
739,Deterministic automaton
741,Abstract family of languages
742,Cone (formal languages)
743,Chomsky normal form
744,Parikh's theorem
747,Time domain
748,Speech synthesis
750,Speech recognition
751,Parametric statistics
752,Vowel
753,Diphthong
755,Formant
756,Inverse trigonometric functions
757,Parameterized complexity
758,MATLAB
760,Parallel process
764,Implementation
765,Loop unrolling
766,QR decomposition
767,Nested loop join
768,Hemodynamics
769,Brain mapping
774,Cerebrovascular Circulation
775,A priori and a posteriori
776,Mean squared error
778,Evoked activity
779,Impulse response
781,Digital filter
782,Root-raised-cosine filter
783,Control theory
786,Recursive filter
787,Quantization (signal processing)
788,Distortion
790,Filter design
792,Haar
793,Bilinear systems
794,Digital computer
796,Walsh series
797,Wavelet
798,Fuzzy clustering
800,CURE data clustering algorithm
802,Conceptual clustering
804,Topology
805,Canopy clustering algorithm
806,Data stream clustering
807,Correlation clustering
808,Constrained clustering
814,Poisson's equation
816,Singularity
817,Complex geometry
818,Solver
819,Gravitational singularity
821,Nernst equation
823,Convexity
826,Maximum likelihood
829,Regular polygon
830,Sampling (statistics)
832,Compressed sensing
833,Grid
834,Authenticated data structures
836,Cryptography
837,Delegate
838,Correctness
839,Verifiable computation
841,Logarithm
842,Gas meter prover
844,Combinatorial game theory
846,Game mechanics
847,Constraint graph
848,Hypergraph
850,Sequential game
853,Bibliography
854,Philosophy of chemistry
855,Humanities
857,Transdisciplinarity
859,Decision tree
863,Data type
864,Data publishing
866,Pruning (decision trees)
868,Decision tree learning
871,Quantum
874,Upper and lower bounds
875,Communication channel
876,Quantum channel
878,Adjacency list
880,Block-matching algorithm
881,Bayesian inference
882,Markov process
884,Query expansion
886,Motion compensation
890,Social relation
891,Social robot
893,Scene analysis
894,Gaze
897,Modular design
899,Data flow diagram
900,Humanoid robot
902,Feedforward neural network
903,PID controller
905,Control engineering
906,Industrial robot
911,Robotics
912,Performance improvement
915,Free variables and bound variables
916,Intuition
917,Reusable software
919,Instance relation
920,Model checking
921,PDGF Signaling Pathway
922,Large Granular Lymphocyte Leukemia
924,Steady state probability
927,Platelet-derived growth factor receptor
928,Ode
929,Probabilistic model checking
930,Radio resource management
931,Efficient energy use
932,Scheduling (computing)
934,Quality of service
936,Spectral efficiency
937,Cellular network
939,Mobile broadband
940,Energy consumption
942,Business process management
943,Single point of failure
944,Architecture
945,Distributed Computing Environment
947,Process modeling
949,Business process modeling
950,Web service
951,Business process discovery
953,IT portfolio management
954,ITIL security management
955,Information Technology Infrastructure Library
956,Institutional theory
957,Financial management for IT services
959,IT service management
961,German
963,Colored
964,Computer graphics (images)
967,Projector
968,Triangulation (social science)
970,Light source
974,Speckle pattern
977,Prostate biopsy
978,Image segmentation
979,Prostate
982,Standard deviation
983,Convex optimization
984,Information system
985,Peer review
993,Medical imaging
994,Imaging phantom
995,Histogram matching
997,Histogram equalization
998,Data compression
1000,Hypergeometric function
1002,Basic hypergeometric series
1003,Holonomic
1005,Formal power series
1006,Generalized hypergeometric function
1007,Holonomic function
1008,Power series
1010,Nearest-neighbor interpolation
1012,Polynomial interpolation
1013,Spline interpolation
1014,Multivariate interpolation
1016,Interpolation
1017,Linear interpolation
1018,Trilinear interpolation
1020,Bilinear interpolation
1025,Sensor node
1028,Data transmission
1031,Reconstruction error
1034,Sink (computing)
1036,Fault detection and isolation
1037,Microprocessor
1041,Aerospace testing
1042,Fault tolerance
1043,Microcontroller
1044,VHDL
1045,Single event upset
1046,Embedded system
1047,Multithreading
1048,Task management
1053,POSIX Threads
1054,Temporal multithreading
1055,Extensibility
1056,Runtime system
1058,Grounded theory
1059,Educational technology
1060,Self-determination
1062,Psychology
1063,Professional development
1064,Curriculum
1065,Mathematics education
1067,Self-efficacy
1068,Perception
1069,Computer technology
1071,Arc (geometry)
1072,Road networks
1073,Abstraction
1074,Vertex (geometry)
1076,Schematic
1077,Reduction (complexity)
1079,Metro maps
1080,Analysis of parallel algorithms
1082,Path (graph theory)
1083,Shortest path problem
1085,Floyd–Warshall algorithm
1086,Bidirectional search
1087,Shortest Path Faster Algorithm
1089,Widest path problem
1090,K shortest path routing
1091,Data collection
1093,Systematic review
1094,Software technology
1097,Feedback loop
1098,Software system
1099,Self adaptation
1100,Application domain
1101,Web of Things
1102,World Wide Web
1104,Internet of Things
1105,Privacy policy
1106,Supply chain
1108,Service-oriented architecture
1110,Semi-supervised learning
1114,Learning vector quantization
1115,Euclidean space
1116,Conformal map
1117,Vector quantization
1121,Computational neuroscience
1124,Binary image
1125,Pooling
1126,Proximal dendrite
1128,Coding (social sciences)
1129,Independent component analysis
1130,Grayscale
1132,Open shop
1135,Job shop scheduling
1138,Receptive field
1140,Curvature
1142,Planar
1143,Invariant (mathematics)
1145,Contextual image classification
1149,Encoding (memory)
1150,Search algorithm
1152,Factory
1155,Testbed
1156,Flexible manufacturing system
1158,Industrial engineering
1162,A* search algorithm
1163,Metadata
1167,Heuristics
1170,Linear regression
1175,Adaptive algorithm
1176,Adaptive control
1177,Steady state
1180,M/M/1 queue
1181,M/D/1 queue
1182,G/G/1 queue
1183,Bulk queue
1184,M/M/c queue
1186,M/G/1 queue
1187,M/G/k queue
1189,M/D/c queue
1190,Semantic framework
1192,Petri net
1196,Stochastic Petri net
1197,Actuator
1198,Control synthesis
1200,Memory interface
1201,CPU cache
1204,Electromagnetic compatibility
1206,Modularity
1208,Psychological resilience
1209,Earthquake scenario
1212,Normal conditions
1213,Seismic risk
1214,Risk analysis (engineering)
1215,Vulnerability
1217,Page layout
1218,News aggregator
1220,Web news
1223,Information extraction
1224,Sentence
1231,Inverse semigroup
1232,Cayley graph
1233,String theory
1234,Embedding
1237,Synthetic data
1239,Arterial tree
1240,Bifurcation
1243,Quotient
1244,Galois group
1245,Isomorphism
1247,Enterprise architecture
1248,Transformative learning
1249,Enterprise software
1251,Enterprise systems engineering
1252,Information and Communications Technology
1255,Glaucoma
1258,Fundus (eye)
1261,Optic cup (anatomical)
1263,Prior probability
1264,Standard test image
1265,Speedup
1267,Multilevel queue
1268,Multilevel feedback queue
1272,Server
1275,Queueing theory
1276,Fork–join queue
1277,Queue management system
1279,Color constancy
1282,Markov random field
1284,Expectation–maximization algorithm
1286,Image formation
1289,Bayesian probability
1291,Multistrategy learning
1294,Unsupervised learning
1298,Probabilistic inference
1299,Perplexity
1301,Markov chain Monte Carlo
1306,Big data
1310,Ergodicity
1311,Markov chain mixing time
1312,Markov property
1313,Continuous-time Markov chain
1315,Pure mathematics
1316,Balance equation
1317,Markov kernel
1319,Examples of Markov chains
1322,Morphological skeleton
1324,Polygon mesh
1325,Transpose
1328,Topological skeleton
1335,Coinduction
1336,Rewriting
1337,Confluence
1338,Rule of inference
1342,Histopathology
1343,Local binary patterns
1344,Classification scheme
1346,Colorectal cancer
1347,Linear classifier
1348,Cancer
1349,Computational analysis
1350,Tridiagonal matrix
1351,Alternating direction implicit method
1353,Diagonally dominant matrix
1355,Toeplitz matrix
1356,Gaussian elimination
1358,Cyclic reduction
1359,Crank–Nicolson method
1360,Tridiagonal matrix algorithm
1363,Group structure
1366,Quadratic equation
1367,Quadratic programming
1369,Number theory
1371,Mathematical problem
1374,Semantic network
1375,Semantic equivalence
1378,Probabilistic latent semantic analysis
1379,WordNet
1381,Semantic compression
1382,Normal distribution
1386,Piecewise
1387,Kernel regression
1390,Acceleration
1391,Geodesic
1393,Mechanical system
1394,Shape analysis (digital geometry)
1395,Artifact-centric business process model
1396,New business development
1397,Business system planning
1402,Business Process Model and Notation
1403,Business rule
1404,Process management
1405,Business analysis
1408,Kleene star
1409,Exponential function
1410,Unary operation
1413,Finite-state machine
1415,Cyclic shift
1416,Adaptability
1419,Normative
1420,Universal design
1422,Diversity gain
1423,Diversity scheme
1424,Antenna diversity
1426,Cooperative diversity
1427,Fading
1430,Bandwidth (signal processing)
1431,Transmit diversity
1432,Fork (system call)
1434,Operational semantics
1436,Concurrency
1438,Bisimulation
1439,Congruence relation
1440,Process calculus
1443,Middleware
1447,Software agent
1448,Exploit
1451,Content adaptation
1452,Service delivery framework
1453,Personalization
1455,Vehicle routing problem
1458,Multi-agent system
1463,Computational linguistics
1467,Word-sense disambiguation
1468,Applied linguistics
1469,Visual specification
1470,Rule-based system
1471,Visual editor
1475,Eclipse
1476,Graph rewriting
1477,Conflict analysis
1478,Security token
1479,Query optimization
1480,RDF query language
1481,Query language
1482,Conjunctive query
1485,Web query classification
1488,Soundness
1493,Resource-oriented architecture
1494,Component-based software engineering
1495,Software requirements specification
1496,Software construction
1498,Software framework
1499,Software sizing
1501,Example-based machine translation
1502,Language translation
1504,Machine translation
1505,Machine translation software usability
1508,Computer-assisted translation
1511,Transfer-based machine translation
1513,Ubiquitous commerce
1514,Service design
1517,Differentiated service
1518,Service catalog
1519,Service provider
1521,Service discovery
1522,Data as a service
1523,Abelian group
1525,Finite field
1526,Cyclic group
1527,Group ring
1529,Ring of integers
1530,Semifield
1531,Primitive element
1532,Finite group
1534,Specification language
1535,Supervisor
1538,Telecommunications network
1539,Nondeterministic algorithm
1541,Automaton
1544,Sublanguage
1547,Market segmentation
1548,Scale-space segmentation
1552,Label propagation
1553,Fusion
1555,Atlas (anatomy)
1561,Rounding
1562,Interval arithmetic
1564,IMS security
1565,Next-generation network
1567,Network architecture
1570,IP Multimedia Subsystem
1572,Standardization
1574,Social psychology
1576,Data quality
1577,Confirmatory factor analysis
1578,Multilevel model
1580,Order by
1581,Plain text
1582,Statistics
1583,Meta-analysis
1584,Multivariate analysis
1586,Image gradient
1588,Salience (neuroscience)
1589,Human visual system model
1590,Goal orientation
1591,Image quality
1593,Observer (quantum physics)
1597,Working group
1598,Organizational ecology
1599,Ecology
1600,Sociology
1601,New institutionalism
1603,Internet governance
1604,Choreography
1605,Internet Standard
1612,Open-world assumption
1616,Closed-world assumption
1617,Well-founded semantics
1619,Semantics
1620,Network on
1621,Preemption
1622,Multiprotocol Label Switching
1626,Traffic engineering
1627,Routing algorithm
1630,Digital watermarking
1632,Image processing
1635,Vision science
1638,Parallel simulation
1639,Supercomputer
1641,CUDA
1642,General-purpose computing on graphics processing units
1644,Permeable reactive barrier
1645,Groundwater remediation
1646,Zerovalent iron
1647,Groundwater
1649,Pollution
1650,Pollutant
1651,Aquifer
1652,Environmental engineering
1653,Reductive dechlorination
1655,Schedule (project management)
1659,Operations research
1661,Probability distribution
1662,Schedule
1663,Stochastic programming
1664,Reliability engineering
1668,Transputer
1671,Distributed memory
1672,Compiler
1673,Multiple sequence alignment
1675,Data management
1676,Data structure alignment
1677,Block graph
1680,Modular decomposition
1681,Pathwidth
1682,Symmetric graph
1683,Universal graph
1684,Planar graph
1687,Split graph
1688,Digital mammography
1691,Clinical trial
1693,MAMMOGRAPHIC DENSITY
1694,Speech corpus
1695,Human voice
1697,Word recognition
1700,Speaker recognition
1703,VoxForge
1704,Hidden Markov model
1705,Microphone
1707,Tree planting
1708,Grafting (decision trees)
1712,Grafting
1713,Alternating decision tree
1715,Pruning
1716,Incremental decision tree
1717,Data structure
1718,Suffix
1720,Range query (data structures)
1722,Welfare economics
1723,Excess burden of taxation
1724,Economics
1725,Rationality
1726,Altruism
1727,Microeconomics
1728,Marginal utility
1729,Welfare
1730,Public economics
1731,Mathematical economics
1732,Imperfect
1733,Public good
1734,Happiness
1737,Spatial planning
1740,Path tracking
1741,Mobile robot
1742,Trajectory planning
1743,Keystream
1745,Microsoft Office password protection
1747,Initialization vector
1749,Stream cipher
1750,RC4
1751,Word processing
1752,Key size
1753,Coupling
1762,Public administration
1763,Scholarship
1764,Political science
1765,Social network
1766,Transformational Government
1767,Transformational leadership
1769,Politics
1770,Mainstream
1771,Government
1773,Learning agent
1775,Feature (computer vision)
1779,Reinforcement learning algorithm
1781,Replicate
1782,Reinforcement learning
1783,Subalgebra
1785,Complete graph
1787,Commutative property
1789,Noncommutative ring
1790,Equivalence class
1791,Chromatic polynomial
1792,Hilbert–Poincaré series
1794,Computer based learning
1797,Distance education
1798,Educational research
1801,Common Object Request Broker Architecture
1803,Response time
1804,Stock trading
1810,Cryptographic protocol
1811,Secrecy
1812,Otway–Rees protocol
1813,A-normal form
1816,Security properties
1818,Equational theory
1821,Contextual information
1825,Data enrichment
1831,Learning effect
1833,Narrative structure
1834,Narrative
1836,Information space
1837,Virtual actor
1838,Interactive storytelling
1840,Instructional simulation
1842,Resource management
1845,Service-level agreement
1848,Human resource management system
1849,Resource allocation
1850,Resource Management System
1853,Cache
1856,Database server
1857,Data access
1859,Client–server model
1860,Directory service
1864,Digital signal processing
1865,System on a chip
1867,Digital signal processor
1868,Schematic capture
1869,Design flow
1871,Mobile phone
1872,Chipset
1875,Commission
1877,Information society
1878,European union
1881,Active contour model
1883,Naive Bayes classifier
1885,Geodesic active contour
1888,Ground truth
1889,Volume estimation
1892,Anatomy
1894,Domain adaptation
1895,Transfer of learning
1896,Pathological
1898,Kernel density estimation
1900,Text mining
1903,Traumatic brain injury
1905,Domain knowledge
1912,Corrective maintenance
1914,Documentation
1916,Source lines of code
1917,Prosody
1930,Process architecture
1931,Reachability
1934,Database access
1938,Object-oriented programming
1940,Computer-aided software engineering
1942,Constant linear velocity
1944,Virtual agent
1945,Flow (psychology)
1946,Crowd simulation
1948,Mixed reality
1955,Wheelchair
1957,Navigation assistance
1961,Systems architecture
1965,Information sharing
1966,Human machine interaction
1967,Coronary artery disease
1969,Start point
1970,Coronary arteries
1974,Tomography
1976,End point
1979,Linear approximation
1980,Spouge's approximation
1982,Degenerate energy levels
1987,Minimax approximation algorithm
1989,Approximation error
1991,Regression analysis
1992,Stress management
1996,Immersion (virtual reality)
1997,Sense of presence
1998,Mental health
2001,Reference frame
2002,Iterative refinement
2003,Inertial frame of reference
2005,Rotation around a fixed axis
2006,Penetration depth
2008,Constrained optimization problem
2009,Configuration space
2013,Computational intelligence
2014,Evolutionary algorithm
2015,Admission control
2020,Computational model
2023,File server
2024,Intrusion
2025,Network forensics
2031,Merge (version control)
2032,Attack graph
2033,Kernel (linear algebra)
2037,Parametrization
2041,Counting problem
2044,Service provisioning
2047,Information technology management
2048,Strategic sourcing
2051,Gene
2052,Melanogaster
2053,Molecular interactions
2055,Interaction network
2056,Pattern formation
2058,Knowledge base
2059,Customer retention
2060,Customer intelligence
2062,Voice of the customer
2063,Service quality
2064,Customer to customer
2065,Customer advocacy
2066,Service level requirement
2068,Customer Service Assurance
2072,Point distribution model
2080,Wavelet transform
2081,Seismology
2082,Remote sensing
2083,Tectonics
2084,Interferometry
2085,Active fault
2086,Geology
2087,Seismic hazard
2088,Probability model
2094,Probabilistic classification
2099,Web search query
2105,Sargable
2107,Object Query Language
2108,Bottleneck
2109,GSM
2110,Telecommunications
2112,UMTS frequency bands
2114,Small cell
2118,Lucas sequence
2120,Pell number
2121,Generalization
2127,Work order
2128,Engineering drawing
2130,Computer-aided
2132,Material flow
2135,Machine tool
2136,MIMO-OFDM
2137,Power management
2138,Synchronization
2141,Multi-frequency time division multiple access
2143,Time division multiple access
2145,Spread spectrum
2154,Design methods
2155,CMOS
2156,Router
2158,Pipeline (computing)
2159,Alias
2160,Locality of reference
2163,Branch target predictor
2164,Branch misprediction
2165,Aliasing
2166,Computer engineering
2167,Branch predictor
2168,Branch predication
2170,Interval method
2172,Local consistency
2176,Psychological level
2177,Sovereignty
2178,Multiple realizability
2179,Functionalism (philosophy of mind)
2180,Autonomy
2183,Computational theory of mind
2188,Data science
2189,Four quadrants
2190,Multidisciplinary approach
2193,Coherence (physics)
2195,Health care
2197,Overweight
2198,Quality of care
2200,Medical emergency
2201,Prospective cohort study
2203,Pathology
2210,Information repository
2211,Association rule learning
2213,Temporal data mining
2214,Categorization
2218,Newspaper
2222,Topic model
2224,Language model
2226,Minimum message length
2227,Cart
2235,Boolean function
2237,Generic property
2238,Cellular differentiation
2239,Scale-free network
2240,Regulation of gene expression
2241,Network topology
2243,Computational biology
2244,Gene regulatory network
2245,Incremental heuristic search
2250,Beam search
2251,Multi-objective optimization
2254,Search problem
2256,Best-first search
2257,Multipath propagation
2258,Fixed wireless
2260,Power control
2262,Interference (wave propagation)
2263,Wi-Fi array
2264,Code division multiple access
2266,Telecommunications link
2267,Code reading
2269,Student assessment
2270,Annotation
2272,Annotation Type
2273,Test strategy
2274,Tracing
2275,Panel data
2276,Biology and political orientation
2277,Social media
2279,Advertising
2280,Voting
2281,Public relations
2282,Sentiment analysis
2283,House of Representatives
2284,Voting behavior
2286,Linear network coding
2289,Transmission delay
2291,Packet loss
2295,Routing protocol
2296,Noncontracting grammar
2297,Context-sensitive grammar
2298,Link grammar
2300,ID/LP grammar
2301,Phrase structure rules
2302,Categorial grammar
2303,Unrestricted grammar
2305,Mildly context-sensitive grammar formalism
2307,Subvariety
2309,Distributive lattice
2310,Lattice (order)
2312,Map of lattices
2314,Modal
2319,Data acquisition
2320,Morse theory
2321,Perturbation (astronomy)
2323,k-means clustering
2325,Electronic business
2326,Fractal dimension
2327,Workload
2329,Fractal
2331,Sizing
2335,Kernel principal component analysis
2342,Maximum a posteriori estimation
2343,Landmark
2345,Applied mathematics
2351,Hybrid positioning system
2352,Local positioning system
2353,Software deployment
2359,Positioning system
2362,Workspace
2368,Pushdown automaton
2370,Density estimation
2373,Scale space
2374,Mutual information
2378,Computational complexity theory
2379,Estimator
2382,Inverted index
2384,Search engine
2387,Latency (engineering)
2392,Base station
2393,Packet injection
2396,Models of communication
2397,Adversary
2402,Mouse button
2404,Casing
2406,Electromagnet
2407,Information feedback
2410,Cursor (user interface)
2411,Solenoid
2413,Neonatal intensive care unit
2416,k-nearest neighbors algorithm
2418,Noisy data
2421,Fuzzy rough sets
2423,Instance selection
2424,Fuzzy rough set theory
2425,Weighted arithmetic mean
2428,Column generation
2433,Mathematical model
2434,Small set
2438,Ball (bearing)
2439,Euclidean distance
2440,Seven-dimensional space
2442,Point (geometry)
2444,Algorithmic complexity
2446,Euclidean distance matrix
2448,Autonomous ground vehicle
2449,Visual language
2452,Modeling language
2457,Metamodeling
2458,Executable
2461,"Failure mode, effects, and criticality analysis"
2463,Structured support vector machine
2465,Feature selection
2466,Least squares support vector machine
2469,Model selection
2471,Relevance vector machine
2472,Kernel method
2473,Perceptron
2475,Link adaptation
2477,Wireless network
2480,Network packet
2482,Wireless WAN
2483,Virtual circuit
2486,Lyapunov function
2489,Riccati equation
2490,Robust control
2492,Functional equation
2495,Row
2497,Vandermonde's identity
2502,Permutation
2503,Combinatorial proof
2504,Vandermonde matrix
2506,Computer performance
2507,Musical
2510,Symphony
2511,Electronics
2517,Stochastic optimization
2520,Tardiness
2522,Job shop
2525,Periodic graph (geometry)
2528,Bijection
2529,Parallelogram
2530,Amortized analysis
2531,Polyomino
2535,Word sense
2538,Prime (order theory)
2539,Simple extension
2540,Certainty
