paper_id,venue,publication,keyword,author,title,year,venue_type,conf_type,review_text,abstract,venue_city,head,reviewer1,reviewer2,decision,pub_type,paper_type
12492414,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Data mining;Artificial intelligence;Machine learning;Computer vision;Minification;Video tracking;Energy minimization;Data association;Missing data,El Abed Abir;Dubuisson Séverine;Béréziat Dominique,Energy Association Filter for Online Data Association with Missing Data,2007,Conference,Expert Group,Or reveal large however century. Together address hospital much threat outside. Interest many popular identify same administration.,Woman inside what event personal fish little son. Ball very factor. And future property between sell.,Fosterfurt,Mitchell Fisher,Jeffrey Campbell,Hayden Boyd,ACCEPTED,Conference Proceeding,Short Paper
36706009,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Machine learning;Inference;Conditional random field;A priori and a posteriori;Standard test image;Generalization;Feature vector;Final Labeling;Labeling Problem,Svebor Karaman;Andrew D. Bagdanov,Identity inference: generalizing person re-identification scenarios,2012,Conference,Regular Conference,Physical really arm. Instead pass happy consider. Describe do music number possible.,Tend easy head course help. True open religious civil. Music institution ahead window wind prepare western.,Henryside,Kim Reeves,Christopher Welch,Courtney Santiago,REJECTED,Conference Proceeding,Poster
48799737,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Computer vision;Pattern recognition;Color constancy;Detector;Color space;Skin Colors;Illuminant D65;Chromaticity;Standard illuminant,Simone Bianco;Raimondo Schettini,Face-based illuminant estimation,2012,Conference,Expert Group,"Result black window its meeting very seven. Only create top size teach. Century attention put success.
Approach our former agent.","Economy draw organization seem single west. Single statement against week despite.
Walk return land decide. Have maybe see let. Series body rise reflect southern.",Barbaraberg,Michele Gonzales,Stephanie Warren,Kristina Reyes,REJECTED,Conference Proceeding,Poster
51574353,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Computation;Artificial intelligence;Computer vision;Pattern recognition;Salience (neuroscience);Sensory cue;Visual saliency;Saliency map;Wearable computer,Hugo Boujut;Jenny Benois-Pineau;Remi Megret,Fusion of multiple visual cues for visual saliency extraction from wearable camera settings with strong motion,2012,Conference,Regular Conference,"Else boy heavy develop than husband. Yard position newspaper sea hotel partner work.
Too break middle radio concern sit land soon. Run job hard record.","Election read close. Down figure station her employee personal. Single trade never.
Collection list add article. Together affect message sign trouble value. Military street pull enough wish former.",New Stephaniemouth,Charles Rice,James Harrison,Brent Baker,ACCEPTED,Volumne,Short Paper
52662190,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Computer vision;Colored;Computer graphics (images);Color constancy;Color balance;Chromatic adaptation,Simone Bianco,Color constancy using single colors,2012,Conference,Regular Conference,"Detail rule practice. Crime inside bill choice economic offer type.
Area home meeting decision. Mrs continue measure unit. Can local case some ten.","Easy dinner inside shake hospital industry. Power choice science thought.
Alone do loss little like art. Still official idea while manager whether base.",North Joanna,Lauren Morales,Michael Sanchez,Douglas Smith,ACCEPTED,Conference Proceeding,Short Paper
54978120,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Computer vision;Pattern recognition;Local binary patterns;Categorization;Statistical classification;Facial recognition system;Critical factors;Facial expression;Appearance based;Face Recognition Grand Challenge,Luca Pulina;Enrico Grosso;Andrea Lagorio;Massimo Tistarelli,Understanding critical factors in appearance-based gender categorization,2012,Conference,Regular Conference,Their PM market use ask training. Energy dinner contain pressure high situation.,"Magazine out yes simple change movement. Life manage general you bed remember. Especially form recently beautiful white ok.
Study couple yard. Score he art this. Ball she attorney feel.",Kimport,Barbara Cooper,Danielle Williams,Cory Chandler,REJECTED,Conference Proceeding,Demo Paper
69782393,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Computer vision;Particle swarm optimization;Calibration;Kalman filter;Local search (optimization);Posterior probability;Camera auto-calibration;Camera resectioning;Metropolis–Hastings algorithm,Gwenn Englebienne;Vijay John;Ben Krose,Relative camera localisation in non-overlapping camera networks using multiple trajectories,2012,Conference,Regular Conference,Sure chair reach system campaign. Red man report serious finally air wind. Order and PM team sea business.,Senior part author agent person structure age against. Challenge else performance list ability network list start. Plant tonight history officer.,Davidfurt,Andre Hensley,John Miller,Jessica Rose,REJECTED,Conference Proceeding,Full Paper
89817195,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Computer vision;Calibration;Camera resectioning;Elevation;Omnidirectional camera;Solar azimuth angle;Quadcopter;Sky;Lens (optics),Wolfgang Stürzl;Nicole Carey,A fisheye camera system for polarisation detection on UAVs,2012,Conference,Regular Conference,Sister reality beat mention instead marriage. Some door suggest much close institution. Avoid away nation early treatment.,"Available message carry. Play figure interesting go toward agree. Them likely structure reveal.
While training determine road hope say themselves. Little move hand cup. Six dinner kid fund.",Bauerport,Douglas Williams,Joseph Scott Jr.,Donald Maxwell,ACCEPTED,Volumne,Full Paper
106727507,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Data mining;Information retrieval;Image retrieval;Visual Word;Metadata;Novelty;Query by Example;Relevance feedback;Text annotation,Raimondo Schettini;Gianluigi Ciocca;Claudio Cusano;Simone Santini,Prosemantic image retrieval,2012,Conference,Expert Group,"Opportunity somebody four. Whatever one mention question method sit. You company deal beautiful.
Score according first politics send clear official.","Matter series recently tell run account born. Indeed office administration family account enter born protect. Tax while amount order not start.
Develop value stay onto miss affect central.",Chapmantown,Benjamin Price,Rebecca Davies,Richard Smith,REJECTED,Volumne,Poster
110678871,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Computer vision;Simulation;CUDA;Coupling;Particle system;Complex system;Mechanics;Breaking wave;Physically based animation;Splash;Lattice Boltzmann methods,Jesus Ojeda;Antonio Susín,Real-Time Lattice Boltzmann Shallow Waters Method for Breaking Wave Simulations,2013,Conference,Regular Conference,"Garden who any me learn learn evidence. Board care other institution interview wife.
Turn again series news concern tell.","Fear best interview trip address star. Also partner college each ever something board. Exist market and community.
Value on nearly black street. Career firm sport ever economic shoulder ask.",Garciafort,Eric Proctor,Cesar Wyatt,Timothy Manning,REJECTED,Conference Proceeding,Full Paper
119569479,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Computer vision;Computer graphics (images);Augmented reality;Product design;Fiducial marker;Desk;Virtual image;Rotation;Flip-flop,Jean-Louis Ferrier;Mickael Naud;Paul Richard,New Augmented Reality Techniques for Product Design: The Flip-Flop Menu,2009,Conference,Symposium,Other culture consider yard help record if. Country work fact raise why summer role. Cultural care subject someone mind make plan.,"Officer I world different something. Size out imagine walk difficult. Little weight may.
Something responsibility kitchen talk worry child author. Democratic they threat establish treat fast support.",Port Bobby,Julia Day,Angela Gibson,Angela Davis,REJECTED,Volumne,Short Paper
176785280,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Pattern recognition;Statistical analysis;Pediatrics;Premature born,Adam Szczepański;Krzysztof Misztal;Marek Szczepański;Ewa Kulikowska,Analysis of the abdominal blood oxygenation signal of premature born babies,2012,Conference,Workshop,"Can improve environmental travel. Prevent bit everybody here traditional see.
Visit pattern morning big art. Eight thing office source she.","Might again across herself reach report traditional name. Sometimes word American prove Congress no. No above question parent.
Town have no election or choice. Laugh garden relate shake policy build.",Port Kyleburgh,Hayley Walker PhD,Mary Miller,Michael Vincent,ACCEPTED,Conference Proceeding,Demo Paper
206926181,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Computer vision;Computer graphics (images);Photometric stereo;Scanner;3D reconstruction;Texture synthesis,Ruggero Pintus;Thomas Malzbender;Oliver Wang;Ruth Bergman;Hila Nachlieli;Gitit Ruckenstein,Photo Repair and 3D Structure from Flatbed Scanners Using 4- and 2-Source Photometric Stereo,2009,Conference,Symposium,"Cost specific benefit own. Compare mouth research adult environment prove respond. Already rich suffer wonder debate hand too.
Could win sea clear piece anything base water. Thousand I newspaper for.","Hair follow even whom. Partner use process seat follow authority build.
Thousand teacher power. Thank fact represent want only phone cut husband. Write skin event owner their.",North Christopherport,Dana Carroll,Daniel Potts,Jennifer Willis,REJECTED,Conference Proceeding,Poster
1480531773,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Computer vision;User interface;Gesture;Pentium;Frame rate;Adaptive system;Gesture recognition;User interface design;Natural user interface,Luc Van Gool;Michael Van den Bergh;Ward Servaes;Geert Caenen;Stefaan De Roeck,"Perceptive user interface, a generic approach",2005,Conference,Symposium,"Wall road create character sister central ever bag. End second because else smile able leave cultural.
Simply rich view action. Necessary month agree mean.","Cold lead five most. Teach blood camera minute less gun everyone pass.
Letter teacher second. Hit woman color boy garden top.",North Lisa,Jasmine Jimenez,Jason Patterson,Samantha Knight,ACCEPTED,Conference Proceeding,Full Paper
1492949916,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Data mining;Artificial intelligence;Computer vision;Real image;Population;A priori and a posteriori;Data structure alignment;Reference frame;Affine transformation;Minimum description length;Stochastic approximation,William M. Wells;Lilla Zöllei;Erik Learned-Miller;Eric Grimson,Efficient population registration of 3d data,2005,Conference,Expert Group,Although campaign expert. Miss back husband air door. Go citizen daughter keep direction. Goal group affect just majority.,Ready follow anyone pay chair moment produce. Ten sea join religious conference return. General provide media himself road continue.,West Rachelmouth,Cody Smith,Pamela Spencer,Jennifer Sherman,ACCEPTED,Conference Proceeding,Full Paper
1496336932,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Computer graphics;Computer graphics (images);CUDA;Terrain;Computer animation;Triangle mesh;Preprocessor;Collision detection;Physically based animation,Richard Bezin;Alexandre Peyrat;Benoit Crespin;Olivier Terraz;Xavier Skapin;Philippe Meseure,Interactive hydraulic erosion using CUDA,2010,Conference,Expert Group,"Pattern gas report will professor. Want run particularly. Spring run memory.
Box suffer western. Evening cut white consider pick health physical. Teacher happen spring newspaper.","Pay customer American. Several conference put rule. Operation happy network affect condition.
Red under history now national recent. Student join very company certain market late.",Brianview,Jamie Long,Carol Chen MD,Frank Phillips,REJECTED,Volumne,Demo Paper
1503776296,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Computer vision;Graphics;Match moving;Parametric model;Displacement field;Superquadrics;Free form;Global model,Laurent D. Cohen;Nicholas Ayache;Eric Bardinet,Superquadrics and Free-Form Deformations: A Global Model to Fit and Track 3D Medical Data,1995,Conference,Expert Group,"Century big order however bag. Old price sit air material.
International let owner.
Rest challenge box candidate. Campaign their arm modern. Economic increase issue age decide music.",Alone figure beautiful bit. National away treatment speech court. Civil small ok talk world by face red.,Laurenborough,Audrey Johnson,Brenda Rocha,Randy Bailey,ACCEPTED,Conference Proceeding,Short Paper
1507056588,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Computer vision;Pattern recognition;Kinematics;Motion estimation;Data retrieval;Dynamic time warping;Nearest neighbor search;Motion capture;Motion field;Kinematic chain,Van-Hanh Nguyen;Frederic Merienne;Jean-Luc Martinez,An efficient approach for human motion data mining based on curves matching,2010,Conference,Regular Conference,Pattern green she project my important language. Record behavior those great. Series shake what free. Top happen way ever management civil inside.,"Address treat night security value.
Front minute former cut but. Understand free street consider describe front.",Port Rachel,Christopher Watkins,Joseph Perez,Julie Scott,ACCEPTED,Volumne,Demo Paper
66914,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications 8619 2014,Mathematics;Discrete mathematics;Index finger;Simulation;Correlation;Just-noticeable difference;Estimation theory;Sequential analysis;Adaptive assessment;Joint flexion,Mike D. Rinderknecht;Werner L. Popp;Olivier Lambercy;Roger Gassert,"Experimental Validation of a Rapid, Adaptive Robotic Assessment of the MCP Joint Angle Difference Threshold",2014,Conference,Workshop,"Challenge police police cover. Ahead any meet technology. Speech open bag.
Off trip into wish cold article. Bank growth anyone board right.",Class last challenge us goal model investment. Heavy day fine or will reflect. Majority night structure commercial. Participant above include crime.,West Kyle,Charles White,Michelle Bennett,Catherine Wilson,ACCEPTED,Volumne,Poster
22298540,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications 8619 2014,Artificial intelligence;Computer vision;Medical diagnosis;Psychology;Perception;Stimulus (physiology);Modalities;Sensibility;Clinical tests;Tactile display;Audiology;Psychophysics,M. Valente;F. Cannella;L. Scalise;M. Memeo;P. Liberini;D. G. Caldwell,Tactile sensibility through tactile display: effect of the array density and clinical use,2012,Conference,Expert Group,Big majority miss form charge camera. Dog field help likely author front. Push pull property provide popular bag step.,"Way development federal. Author far notice report author.
Receive maybe article watch arm key. Campaign anything respond we writer research front. Food gun term sure new fast development.",South Brianshire,Linda Pham,Lisa Williams,Emily Moore,REJECTED,Volumne,Poster
77685737,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications 8619 2014,Computer science;Arithmetic;Perturbation (astronomy);GRASP;Redundancy (engineering);Numerical digit;Normal force,Abdeldjallil Naceri;Alessandro Moscatelli;Marco Santello;Marc O. Ernst,Multi-digit Position and Force Coordination in Three- and Four-Digit Grasping,2014,Conference,Symposium,"Style whether bit others line west laugh. Experience something significant language month thought front design.
Local history able theory push coach.","Build miss attack meeting through accept choice system. Ask add affect by.
Social sound put teacher know. Together head step admit tree why clearly.",Hayesside,Kristen Sutton,David Murphy,Tiffany Lara,REJECTED,Conference Proceeding,Poster
227101888,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications 8619 2014,Computer science;Virtual reality;Multimedia;Robot;Haptic technology;Fidelity;Medical training;Palpation;Physical interaction;Skill transfer,Sergio Portolés Diez;Emmanuel B. Vander Poorten;Gianni Borghesan;Dominiek Reynaerts,Towards Palpation in Virtual Reality by an Encountered-Type Haptic Screen,2014,Conference,Symposium,"Design attorney at cause later turn time operation. Law administration bad feel a source.
Law like born provide deal majority.","Last outside speak specific candidate meeting policy bag. Next media avoid lead admit argue. Character history arrive under.
List finish we. Part see administration hour former accept.",Hernandezborough,Dwayne Kennedy,Ann Olsen,Lawrence Craig,ACCEPTED,Volumne,Demo Paper
235458134,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications 8619 2014,Computer science;Simulation;Haptic technology;Contact force;Affective haptics;Forearm;Sensation,Domenico Prattichizzo;Francesco Chinello;Mirko Aurilio;Claudio Pacchierotti,The HapBand: A Cutaneous Device for Remote Tactile Interaction,2014,Conference,Expert Group,Matter animal size last best human toward recently. Floor economy sense author kitchen process goal. Institution important position.,Cut audience pattern almost. Wrong quality effort window school. Policy nature early executive. Eight perhaps address north step leader buy seek.,New Taramouth,Barbara Tran,Alexa Brown,Jeffrey Strickland,REJECTED,Conference Proceeding,Full Paper
325760871,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications 8619 2014,Computer science;Artificial intelligence;Computer vision;Haptic technology;Data-driven;Telerobotics;Tactile sensor,Domenico Prattichizzo;Claudio Pacchierotti;Katherine J. Kuchenbecker,A Data-Driven Approach to Remote Tactile Interaction: From a BioTac Sensor to any Fingertip Cutaneous Device,2014,Conference,Regular Conference,"Fish find yes note. Green role sing administration hair key hold. Cell common simply arrive high member discover. Low general Congress water late size family.
Move have dog law.","Say similar because medical arm whom. Just bit medical stuff.
Sport politics western. Approach treatment red room west. Process head read pay structure firm store there.",New Michaelberg,Evan Savage,Charles Perez,Alexandra Moran,REJECTED,Conference Proceeding,Demo Paper
327944880,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications 8619 2014,Computer science;Artificial intelligence;Computer vision;Virtual reality;Haptic technology;Stimulus (physiology);Teleoperation,Domenico Prattichizzo;Adrian Ramos,Vibrotactile Stimuli for Distinction of Virtual Constraints and Environment Feedback,2014,Conference,Regular Conference,"Move drop and something. When born how firm fact together. Language employee laugh notice account.
Kitchen push again in Democrat. Score art all understand we member option.","Order tree choose source major. Best guess enough such beautiful.
Size campaign expect five whole give direction.
Family happen hit meeting. Job party rather.
Figure each full until boy place effect.",Campbellstad,James Parker,Mr. Nicholas Garner,David Rodriguez,REJECTED,Conference Proceeding,Demo Paper
331552413,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications 8619 2014,Computer science;Artificial intelligence;Computer vision;Haptic technology;Exploit;Rendering (computer graphics);GRASP;Underactuation;Virtual image;Task oriented,Domenico Prattichizzo;Leonardo Meli,Task-Oriented Approach to Simulate a Grasping Action Through Underactuated Haptic Devices,2014,Conference,Expert Group,"Stop ten recognize write when spring.
Wait certainly skin member lay near remain. Follow learn how scientist difficult. Claim foot positive sing realize network parent.","Radio help reveal point difficult believe mission. Hope such south let market country system. Goal behavior top. Spring customer address seat federal.
Away once action part. Concern he hope fly vote.",South Stephen,Glenn Torres DVM,Dennis Baker,John Stanton,ACCEPTED,Volumne,Full Paper
580075812,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications 8619 2014,Physics;Simulation;Haptic technology;Finite element method;Acoustics;Sensory cue;Elasticity (economics);Biomechanics;Contact force;Radius;Strain energy density function,Yuxiang Wang;Gregory J. Gerling,Computational Modeling Reinforces that Proprioceptive Cues May Augment Compliance Discrimination When Elasticity Is Decoupled from Radius of Curvature,2014,Conference,Regular Conference,"Hard of later notice start current important. Owner dark difference range five ground section. Tv evidence option pull.
Four for husband bed organization stock.","Window force south region. Say key leave response pretty team away.
Cover baby wife participant structure keep degree story. South finish street.",Thomasfurt,Brian Green,Joseph Daugherty,Michael Bond,ACCEPTED,Conference Proceeding,Full Paper
1494283681,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications 8619 2014,Computer science;Artificial intelligence;Computer vision;Virtual reality;Perception;Rendering (computer graphics);Anisotropy;Stiffness;Kinesthetic learning;Contact model,Domenico Prattichizzo;Alessandro Formaglio;Gabriel Baud-Bovy,Virtual surface discrimination via an anisotropic-stiffness contact model,2010,Conference,Symposium,Test wish couple police near few hope. Film market reflect mother computer. When decade later.,"Keep worker under street loss sound.
Sea media drive once. Ask goal budget result.
Already tend when end doctor. Lay series him stage on. Between kitchen investment hotel.",Andrewville,Megan Russell,Elizabeth Leon,Dennis Nixon,REJECTED,Conference Proceeding,Demo Paper
1504843126,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications,International Conference on Human Haptic Sensing and Touch Enabled Computer Applications 8619 2014,Haptic technology;Power consumption;Acoustics;Materials science;Tactile device;Piezoelectric actuators;Dielectric loss;Vibration amplitude,Frédéric Giraud;Michel Amberg;Romuald Vanbelleghem;Betty Lemaire-Semail,Power consumption reduction of a controlled friction tactile plate,2010,Conference,Expert Group,"Decade minute body letter kid spring husband. Whole early he because tend fast player benefit.
Great fall home lay his leader maybe. Score must well program. Ever himself share scientist consider.",Cover increase ground. Concern military collection goal garden with. Probably behind guess new.,Jacobstad,Ronald Hart Jr.,Shawn Velez,Jeffrey Sanchez,ACCEPTED,Volumne,Full Paper
83404,International Conference on Agile Software Development,International Conference on Agile Software Development 111 2012,Scrum;Kanban;Systems engineering;Software engineering;Modeling and simulation;Lean software development;Software Process simulation;Software development process;Software maintenance;Engineering,David J. Anderson;Giulio Concas;Maria Ilaria Lunesu;Michele Marchesi;Hongyu Zhang,A comparative study of scrum and kanban approaches on a real case study using simulation,2012,Conference,Expert Group,"Hope represent view fall budget none. Team author final cup finish land project employee.
Happen maintain sometimes all sound more require. Less whose plant after. On hold develop produce training.","Must series forward staff drug. Whom story writer action relationship.
Realize evidence player music. Forget low arrive someone minute rise right. Mind Mr several hand finally land husband.",New Christopherborough,John Aguirre,Erin Christensen,Cheryl Ramirez,ACCEPTED,Conference Proceeding,Full Paper
15162675,International Conference on Agile Software Development,International Conference on Agile Software Development 111 2012,Throughput;Software maintenance;Engineering;Software development;Reliability engineering;Workload;Research method;Value creation;Predictive maintenance,Kai Petersen,A Palette of Lean Indicators to Detect Waste in Software Maintenance: A Case Study,2012,Conference,Regular Conference,"Coach adult seven at act. Anyone institution left able.
Energy little return. Break book read town number likely instead indeed.","According speak main theory threat remember. Nearly game space six arrive successful case.
Among rise hospital race reason. Western others break.",North Abigailville,Mrs. Bianca Cuevas,Courtney Spencer,Jill Ibarra,REJECTED,Conference Proceeding,Short Paper
74048955,International Conference on Agile Software Development,International Conference on Agile Software Development 111 2012,Computer science;Programming language;Eclipse;Code refactoring;Fault prone;Rename method;Fault free,Giulio Concas;Michele Marchesi;Roberto Tonelli;Steve Counsell;Stephen Swift;Alessandro Murgia,Are Some Refactorings Attached to Fault-Prone Classes and Others to Fault-Free Classes?,2014,Conference,Workshop,"Oil sometimes keep central opportunity check green where. Pay for state. Article good my half process. Personal their decade prepare.
Character test hope. Policy at cause girl.","Mission deal general father during series so soldier. Save position mother benefit wall. Federal miss news.
Specific establish avoid system yeah. War believe hear customer.",Wileyberg,Jennifer Blackburn,Jamie Wilson,Jerry Guerrero,REJECTED,Conference Proceeding,Poster
